#	timestep	total	type0	type1	type2
368 1.796716 7.932946 0.625140 0.346790
369 1.799685 7.947046 0.625879 0.347544
370 1.802213 7.963003 0.625845 0.346895
371 1.805694 7.978885 0.626933 0.347549
372 1.808871 7.994585 0.627684 0.347909
373 1.811904 8.010796 0.628143 0.348055
374 1.814526 8.023921 0.628707 0.348406
375 1.817263 8.038751 0.629079 0.348511
376 1.820345 8.054825 0.629593 0.348876
377 1.823022 8.069733 0.629896 0.348819
378 1.825424 8.082561 0.630254 0.348965
379 1.828000 8.097221 0.630436 0.349035
380 1.831079 8.113023 0.631107 0.349023
381 1.834198 8.127386 0.631973 0.349912
382 1.836904 8.143652 0.632012 0.349726
383 1.839680 8.158492 0.632488 0.349633
384 1.842754 8.172165 0.633554 0.350142
385 1.845493 8.188077 0.633599 0.350487
386 1.849067 8.205331 0.634540 0.350909
387 1.851922 8.219330 0.635188 0.351447
388 1.854652 8.233143 0.635810 0.351530
389 1.857828 8.249029 0.636502 0.351931
390 1.860103 8.264130 0.636259 0.351454
391 1.863108 8.278453 0.637058 0.351965
392 1.865649 8.295060 0.636889 0.351279
393 1.868951 8.309023 0.638114 0.352227
394 1.872018 8.324147 0.638842 0.352588
395 1.875138 8.340211 0.639467 0.352744
396 1.877659 8.354821 0.639603 0.352723
397 1.881201 8.370672 0.640787 0.353387
398 1.883315 8.384789 0.640498 0.353110
399 1.885774 8.398674 0.640779 0.352854
400 1.889632 8.415716 0.642110 0.353639
401 1.891629 8.428503 0.641924 0.353575
402 1.894991 8.443928 0.642998 0.354029
403 1.897803 8.458820 0.643442 0.354226
404 1.899637 8.471672 0.643063 0.353895
405 1.903257 8.488777 0.644109 0.354329
406 1.906305 8.503240 0.644884 0.355052
407 1.908864 8.517020 0.645298 0.354972
408 1.911930 8.531114 0.646259 0.355432
409 1.914712 8.547196 0.646421 0.355392
410 1.918128 8.561953 0.647658 0.356181
411 1.919893 8.574315 0.647352 0.355635
412 1.922728 8.589089 0.647871 0.355795
413 1.925965 8.604800 0.648680 0.356270
414 1.927962 8.618655 0.648260 0.356078
415 1.931656 8.634142 0.649719 0.356916
416 1.933823 8.647980 0.649642 0.356391
417 1.937135 8.664493 0.650336 0.356973
418 1.939835 8.679589 0.650647 0.356836
419 1.942624 8.693214 0.651328 0.357215
420 1.945494 8.706894 0.652116 0.357607
421 1.947833 8.720148 0.652325 0.357554
422 1.951246 8.735372 0.653464 0.358248
423 1.954197 8.751940 0.653752 0.358230
424 1.956579 8.765779 0.653927 0.357986
425 1.960124 8.781832 0.654987 0.358968
426 1.962192 8.793763 0.655223 0.358498
427 1.964862 8.809122 0.655341 0.358689
428 1.968117 8.823858 0.656429 0.359126
429 1.970573 8.838088 0.656557 0.359119
430 1.973092 8.851904 0.656885 0.359108
431 1.976404 8.866621 0.658004 0.359784
432 1.979009 8.879677 0.658600 0.359976
433 1.980694 8.891449 0.658282 0.359586
434 1.984669 8.907230 0.660031 0.360658
435 1.987098 8.918910 0.660640 0.361118
436 1.988873 8.931902 0.660196 0.360552
437 1.993142 8.948628 0.662161 0.361582
438 1.994933 8.961064 0.661794 0.361355
439 1.997677 8.975886 0.662243 0.361202
440 2.000909 8.992254 0.662901 0.361595
441 2.003028 9.004543 0.662968 0.361753
442 2.006161 9.018042 0.664127 0.362416
443 2.008464 9.031783 0.664245 0.362022
444 2.011856 9.046319 0.665414 0.363164
445 2.014047 9.060738 0.665218 0.362676
446 2.017366 9.076835 0.666076 0.363061
447 2.020168 9.091553 0.666554 0.363237
448 2.023241 9.107824 0.666996 0.363635
449 2.025637 9.121495 0.667254 0.363309
450 2.029017 9.136191 0.668414 0.364259
451 2.030752 9.149543 0.667847 0.363580
452 2.034668 9.166304 0.669310 0.364467
453 2.036538 9.179687 0.668931 0.363816
454 2.039798 9.195394 0.669743 0.364424
455 2.042314 9.208942 0.670072 0.364657
456 2.045472 9.225183 0.670691 0.364886
457 2.047945 9.236801 0.671404 0.365257
458 2.050361 9.250591 0.671628 0.365062
459 2.053220 9.265595 0.672136 0.365177
460 2.056321 9.280159 0.673042 0.365602
461 2.058504 9.292066 0.673233 0.366026
462 2.061199 9.307915 0.673381 0.365758
463 2.064519 9.323652 0.674275 0.366359
464 2.066896 9.338088 0.674300 0.366090
465 2.069581 9.351748 0.674829 0.366421
466 2.072778 9.367489 0.675602 0.366773
467 2.076330 9.383430 0.676766 0.367485
468 2.078423 9.399497 0.676116 0.366580
469 2.081827 9.415387 0.677080 0.367254
470 2.084901 9.430781 0.677729 0.367711
471 2.088066 9.447629 0.678206 0.367942
472 2.090861 9.461802 0.678764 0.368310
473 2.093159 9.475768 0.678824 0.367888
474 2.096388 9.491975 0.679465 0.368489
475 2.099196 9.506031 0.680093 0.368770
476 2.102172 9.520347 0.680826 0.369380
477 2.104818 9.536696 0.680793 0.369040
