#	r	total	0-0	0-1	0-2	1-1	1-2	2-2
7.039910 1.087410 1.162295 0.835453 1.167020 1.184688 1.051892 1.596633
7.074675 1.079963 1.146532 0.846624 1.168562 1.158726 1.060281 1.600168
7.109440 1.071439 1.125267 0.863658 1.174188 1.131620 1.060860 1.596085
7.144205 1.063466 1.120639 0.878645 1.180252 1.105949 1.061357 1.588423
7.178970 1.053534 1.105661 0.895315 1.182204 1.076600 1.062451 1.569407
7.213735 1.042945 1.088996 0.908495 1.187673 1.047423 1.062691 1.553425
7.248500 1.033687 1.082355 0.925022 1.185181 1.020628 1.063955 1.518145
7.283265 1.023221 1.063844 0.942117 1.185261 0.991131 1.066097 1.477766
7.318030 1.015035 1.050219 0.958855 1.191197 0.965018 1.070307 1.435063
7.352795 1.007521 1.039171 0.977062 1.194420 0.938677 1.078019 1.383249
7.387560 0.999171 1.025977 0.993944 1.190517 0.913017 1.084174 1.329930
7.422325 0.992262 1.012783 1.008805 1.186649 0.890391 1.092621 1.277672
7.457090 0.986141 1.002159 1.023131 1.185008 0.869581 1.100971 1.222804
7.491855 0.978658 0.996428 1.036898 1.176575 0.848994 1.105757 1.156949
7.526620 0.973377 0.979674 1.052684 1.174031 0.828591 1.115920 1.107544
7.561385 0.968632 0.968991 1.064884 1.161353 0.813435 1.123616 1.056084
7.596150 0.964129 0.958325 1.079602 1.159375 0.797093 1.129999 1.001273
7.630915 0.960576 0.952915 1.093908 1.149921 0.783540 1.136542 0.947722
7.665680 0.955741 0.941566 1.103677 1.136771 0.770761 1.140485 0.906100
7.700445 0.951872 0.931840 1.113514 1.125082 0.759515 1.145234 0.863154
7.735210 0.948862 0.922761 1.123467 1.109986 0.750600 1.148464 0.831243
7.769975 0.945950 0.913946 1.130033 1.099949 0.743732 1.149745 0.802416
7.804740 0.943097 0.908823 1.138522 1.083400 0.737459 1.149313 0.773870
7.839504 0.940227 0.897891 1.142376 1.067023 0.732782 1.150101 0.751892
7.874269 0.938226 0.887814 1.147621 1.057252 0.729363 1.149315 0.728529
7.909034 0.937210 0.882906 1.155178 1.044618 0.727612 1.145970 0.716462
7.943799 0.935592 0.875196 1.157008 1.033570 0.726777 1.144229 0.700629
7.978564 0.934991 0.867378 1.158651 1.023101 0.728718 1.141291 0.687055
8.013329 0.933987 0.862379 1.159118 1.012812 0.729989 1.137269 0.684626
8.048094 0.933013 0.856116 1.159557 0.997883 0.732662 1.132162 0.680229
8.082859 0.934083 0.849856 1.160497 0.988632 0.738648 1.128149 0.672326
8.117624 0.934862 0.844623 1.158294 0.987405 0.744153 1.123886 0.671712
8.152389 0.935307 0.836491 1.157717 0.980453 0.748609 1.119906 0.674945
8.187154 0.936865 0.834480 1.153026 0.973877 0.758124 1.114316 0.676165
8.221919 0.938374 0.830477 1.149438 0.973124 0.765342 1.110434 0.680286
8.256684 0.941788 0.825438 1.148149 0.966423 0.776958 1.105228 0.687738
8.291449 0.943577 0.824270 1.141610 0.964236 0.786051 1.102112 0.689454
8.326214 0.946925 0.822949 1.136288 0.964374 0.798372 1.096928 0.697927
8.360979 0.949903 0.820046 1.127372 0.963790 0.811558 1.092037 0.708684
8.395744 0.953901 0.821878 1.122429 0.961808 0.824420 1.088281 0.718560
8.430509 0.958306 0.819220 1.115931 0.962053 0.839561 1.083727 0.725454
8.465274 0.962773 0.822254 1.107821 0.963360 0.854789 1.079029 0.739409
8.500039 0.967409 0.820427 1.099779 0.967524 0.870613 1.074082 0.750559
8.534804 0.973346 0.823528 1.092651 0.968116 0.889322 1.068497 0.762371
8.569569 0.978731 0.824306 1.084258 0.973021 0.906008 1.065073 0.773214
8.604334 0.984708 0.826475 1.075220 0.975869 0.925964 1.058332 0.787423
8.639099 0.990810 0.830305 1.069141 0.978153 0.944176 1.052462 0.802917
8.673864 0.997340 0.836518 1.059881 0.977432 0.965683 1.045515 0.818761
8.708629 1.002864 0.844058 1.052372 0.982866 0.985078 1.035575 0.828470
8.743394 1.009136 0.843865 1.045748 0.987515 1.005565 1.027188 0.837470
8.778159 1.014520 0.854259 1.035182 0.987800 1.026747 1.016763 0.849357
8.812924 1.020466 0.858982 1.032484 0.994517 1.044768 1.006739 0.858677
8.847689 1.024464 0.863652 1.020553 0.996263 1.064776 0.994081 0.871028
8.882454 1.029802 0.866086 1.015388 0.996717 1.084080 0.982857 0.882132
8.917219 1.033904 0.873133 1.007918 0.999988 1.102429 0.969066 0.892678
8.951984 1.037518 0.882990 1.001962 1.000986 1.119184 0.955784 0.896756
8.986749 1.040635 0.891338 0.991701 1.007183 1.135943 0.943080 0.903837
9.021514 1.042576 0.900211 0.983895 1.006598 1.149449 0.930909 0.909714
9.056279 1.045119 0.908036 0.978933 1.009625 1.162841 0.917703 0.918448
9.091044 1.046434 0.918704 0.971906 1.014300 1.172837 0.907244 0.925722
9.125809 1.046307 0.925078 0.964568 1.020880 1.180650 0.895756 0.927203
9.160574 1.046950 0.934417 0.957772 1.022808 1.189592 0.885102 0.933695
9.195339 1.045236 0.939409 0.949957 1.023951 1.194314 0.875482 0.928630
9.230104 1.044157 0.950130 0.943986 1.029860 1.197158 0.866888 0.938276
9.264869 1.043115 0.960155 0.935509 1.029937 1.201040 0.861063 0.942909
9.299634 1.041062 0.967396 0.929509 1.031267 1.201335 0.855633 0.945795
9.334399 1.039353 0.976117 0.924575 1.034552 1.201034 0.851016 0.950221
9.369164 1.036176 0.982786 0.917319 1.037817 1.198717 0.846566 0.953373
9.403929 1.033956 0.991636 0.913287 1.039050 1.195018 0.846669 0.952729
9.438694 1.031728 1.001813 0.907451 1.046651 1.191889 0.845074 0.956681
9.473459 1.028776 1.009577 0.901711 1.045373 1.187405 0.845905 0.956212
9.508224 1.025199 1.014486 0.897400 1.045548 1.180853 0.846122 0.959768
9.542989 1.022889 1.025753 0.894396 1.041045 1.175043 0.850067 0.959765
9.577754 1.020020 1.025717 0.890969 1.046710 1.167406 0.853724 0.965536
9.612519 1.017503 1.036082 0.888815 1.044649 1.159249 0.860202 0.964608
9.647284 1.014808 1.043238 0.887579 1.046827 1.151412 0.863965 0.961275
9.682049 1.011630 1.051985 0.886327 1.044541 1.140925 0.870927 0.964775
9.716814 1.010082 1.054888 0.885847 1.044713 1.132548 0.880327 0.968469
9.751579 1.006816 1.056144 0.887027 1.040798 1.122850 0.885245 0.963847
